City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
90,Rawson,AR,2021-10-06 20:20:50,-43.3002,-65.1023,59.81,20,0,11.72,clear sky,0,0
91,Hasaki,JP,2021-10-06 20:20:58,35.7333,140.8333,66.6,71,100,10.96,overcast clouds,0,0
92,Jiwani,PK,2021-10-06 20:20:58,25.05,61.7417,80.51,81,0,7.16,clear sky,0,0
93,Bandipur,NP,2021-10-06 20:20:59,27.9333,84.4167,63.45,93,1,2.59,clear sky,0,0
94,Tiksi,RU,2021-10-06 20:20:59,71.6872,128.8694,24.28,94,100,5.73,light snow,0,0
95,Hirara,JP,2021-10-06 20:20:59,24.8,125.2833,82.45,79,92,13.35,overcast clouds,0,0
96,Ostrovnoy,RU,2021-10-06 20:21:00,68.0531,39.5131,47.53,88,99,20.56,overcast clouds,0,0
97,Kathmandu,NP,2021-10-06 20:18:34,27.7167,85.3167,68.22,94,75,2.3,broken clouds,0,0
98,Severo-Kurilsk,RU,2021-10-06 20:21:00,50.6789,156.125,42.98,76,66,10.42,broken clouds,0,0
99,Bambous Virieux,MU,2021-10-06 20:21:00,-20.3428,57.7575,69.22,94,75,3.44,light intensity shower rain,0,0
100,Labuhan,ID,2021-10-06 20:21:01,-6.8844,112.2051,76.6,71,100,13.22,overcast clouds,0,0
101,Aklavik,CA,2021-10-06 20:21:01,68.2191,-135.0107,38.23,77,100,8.81,overcast clouds,0,0
102,Teya,RU,2021-10-06 20:21:02,60.3778,92.6267,32.34,95,100,8.7,snow,0,0
103,Kemijarvi,FI,2021-10-06 20:21:03,66.7131,27.4306,46.78,96,100,7.0,light rain,0,0
104,Barao De Melgaco,BR,2021-10-06 20:21:03,-16.1944,-55.9675,99.12,25,64,3.91,broken clouds,0,0
105,Omboue,GA,2021-10-06 20:21:04,-1.5746,9.2618,76.03,78,99,8.5,overcast clouds,0,0
106,Arlit,NE,2021-10-06 20:21:04,18.7369,7.3853,87.75,13,0,14.47,clear sky,0,0
107,Surt,LY,2021-10-06 20:21:05,31.2089,16.5887,74.35,60,0,13.35,clear sky,0,0
108,Soe,ID,2021-10-06 20:21:05,-9.8607,124.284,63.36,85,45,3.24,scattered clouds,0,0
109,Milton,US,2021-10-06 20:17:50,34.1322,-84.3007,77.54,83,69,1.99,broken clouds,0,0
110,Lima,PE,2021-10-06 20:21:06,-12.0432,-77.0282,67.14,92,20,11.5,few clouds,0,0
111,Sehithwa,BW,2021-10-06 20:21:06,-20.4667,22.7167,79.93,40,74,10.56,broken clouds,0,0
112,Anloga,GH,2021-10-06 20:21:07,5.7947,0.8973,78.87,84,100,15.97,overcast clouds,0,0
113,Butaritari,KI,2021-10-06 20:21:07,3.0707,172.7902,81.72,70,88,16.2,overcast clouds,0,0
114,Constitucion,CL,2021-10-06 20:21:07,-35.3333,-72.4167,61.09,53,0,10.56,clear sky,0,0
115,Marsa Matruh,EG,2021-10-06 20:21:08,31.3525,27.2453,71.47,65,0,15.64,clear sky,0,0
116,Pevek,RU,2021-10-06 20:21:08,69.7008,170.3133,26.38,77,100,13.44,overcast clouds,0,0
117,Jhudo,PK,2021-10-06 20:21:08,24.964,69.2968,84.11,59,97,9.91,overcast clouds,0,0
118,Yar-Sale,RU,2021-10-06 20:21:09,66.8333,70.8333,43.77,83,100,22.12,overcast clouds,0,0
119,North Bend,US,2021-10-06 20:21:09,43.4065,-124.2243,61.25,76,40,10.36,scattered clouds,0,0
120,Thompson,CA,2021-10-06 20:18:55,55.7435,-97.8558,55.56,50,75,4.61,broken clouds,0,0
121,Berlevag,NO,2021-10-06 20:21:10,70.8578,29.0864,42.75,81,75,4.61,broken clouds,0,0
122,Havre De Grace,US,2021-10-06 20:16:52,39.5493,-76.0916,74.84,79,75,9.22,broken clouds,0,0
123,Grand Gaube,MU,2021-10-06 20:21:10,-20.0064,57.6608,69.39,79,2,4.74,light rain,0,0
124,Mogadishu,SO,2021-10-06 20:21:11,2.0371,45.3438,77.97,84,98,18.23,overcast clouds,0,0
125,Voyvozh,RU,2021-10-06 20:21:11,62.892,54.9635,38.44,90,24,7.9,few clouds,0,0
126,Biak,ID,2021-10-06 20:21:12,-0.9131,122.8766,74.64,82,90,3.78,overcast clouds,0,0
127,Swakopmund,NA,2021-10-06 20:21:12,-22.6833,14.5333,55.98,84,57,3.0,broken clouds,0,0
128,Kahului,US,2021-10-06 20:20:04,20.8947,-156.47,84.22,65,40,20.71,scattered clouds,0,0
129,Hami,CN,2021-10-06 20:20:29,42.8,93.45,55.51,27,100,8.48,overcast clouds,0,0
130,Qaanaaq,GL,2021-10-06 20:21:13,77.484,-69.3632,21.16,66,0,8.52,clear sky,0,0
131,Torbay,CA,2021-10-06 20:21:14,47.6666,-52.7314,61.27,65,90,11.5,overcast clouds,0,0
132,Bambanglipuro,ID,2021-10-06 20:21:14,-7.95,110.2833,74.57,76,81,4.94,broken clouds,0,0
133,Hobart,AU,2021-10-06 20:21:15,-42.8794,147.3294,48.06,76,90,1.99,overcast clouds,0,0
134,Bontang,ID,2021-10-06 20:21:15,0.1333,117.5,76.35,92,90,6.53,overcast clouds,0,0
135,Balkanabat,TM,2021-10-06 20:21:15,39.5108,54.3671,59.47,21,90,15.01,overcast clouds,0,0
136,Yulara,AU,2021-10-06 20:21:16,-25.2406,130.9889,60.64,51,0,14.97,clear sky,0,0
137,Tefe,BR,2021-10-06 20:21:16,-3.3542,-64.7114,91.51,62,20,3.36,few clouds,0,0
138,Athens,GR,2021-10-06 20:20:44,37.9795,23.7162,65.16,60,0,8.99,clear sky,0,0
139,Victoria,HK,2021-10-06 20:21:18,22.2855,114.1577,86.38,77,3,1.01,clear sky,0,0
140,Cordoba,AR,2021-10-06 20:19:07,-31.4135,-64.1811,67.42,27,0,8.99,clear sky,0,0
141,Leningradskiy,RU,2021-10-06 20:21:18,69.3833,178.4167,27.99,98,100,6.26,light snow,0,0
142,Clearlake,US,2021-10-06 20:21:18,38.9582,-122.6264,70.18,51,100,4.23,overcast clouds,0,0
143,Westport,US,2021-10-06 20:19:02,41.1415,-73.3579,72.46,66,90,5.01,overcast clouds,0,0
144,La Criba,HN,2021-10-06 20:21:20,13.4536,-87.4133,96.89,57,82,1.57,broken clouds,0,0
145,Walvis Bay,NA,2021-10-06 20:21:20,-22.9575,14.5053,56.08,82,12,5.75,few clouds,0,0
146,Awjilah,LY,2021-10-06 20:21:21,29.1081,21.2869,72.81,35,0,8.25,clear sky,0,0
147,Sinnamary,GF,2021-10-06 20:21:21,5.3833,-52.95,82.44,78,100,8.3,overcast clouds,0,0
148,Itoman,JP,2021-10-06 20:21:21,26.1247,127.6694,78.82,89,20,4.61,few clouds,0,0
149,Belfast,GB,2021-10-06 20:21:12,54.5833,-5.9333,58.48,96,90,8.05,overcast clouds,0,0
150,Smoky Lake,CA,2021-10-06 20:21:24,54.1169,-112.4686,51.49,57,100,10.36,overcast clouds,0,0
151,Neuquen,AR,2021-10-06 20:18:13,-38.9516,-68.0591,60.69,27,0,5.75,clear sky,0,0
152,Gonbad-E Qabus,IR,2021-10-06 20:21:26,37.25,55.1672,66.15,78,100,5.64,overcast clouds,0,0
153,Codrington,AU,2021-10-06 20:21:28,-38.2667,141.9667,44.74,77,23,9.93,few clouds,0,0
154,Sabha,LY,2021-10-06 20:21:28,27.0377,14.4283,76.53,25,0,8.63,clear sky,0,0
155,Nassau,US,2021-10-06 20:20:05,40.7507,-73.5829,72.0,69,90,6.91,overcast clouds,0,0
156,Polunochnoye,RU,2021-10-06 20:21:29,60.8697,60.4153,34.05,91,93,5.3,overcast clouds,0,0
157,Chapais,CA,2021-10-06 20:21:29,49.7834,-74.8492,69.58,49,91,4.92,overcast clouds,0,0
158,Serowe,BW,2021-10-06 20:21:30,-22.3833,26.7167,73.0,44,70,11.43,broken clouds,0,0
159,Mengcheng,CN,2021-10-06 20:21:31,33.2579,116.5655,56.75,90,42,10.42,light rain,0,0
160,Nevelsk,RU,2021-10-06 20:21:31,46.6733,141.8633,30.63,69,100,4.23,overcast clouds,0,0
161,Ancud,CL,2021-10-06 20:21:32,-41.8697,-73.8203,56.73,52,0,5.73,clear sky,0,0
162,Faya,SA,2021-10-06 20:21:32,18.3851,42.4509,66.31,35,42,10.13,scattered clouds,0,0
