City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Bembereke,BJ,77.7,overcast clouds,10.2283,2.6634,Hotel Bio Guera
238,Burriana,ES,71.67,overcast clouds,39.889,-0.085,Hotel Beatriz
239,Bushehr,IR,84.29,haze,28.9684,50.8385,Yas Hotel
240,The Hammocks,US,89.62,few clouds,25.6715,-80.4445,Casa tío Hernan
241,Katsuura,JP,68.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
242,Preobrazheniye,RU,51.84,overcast clouds,42.9019,133.9064,Campsite Orlan
243,Sao Filipe,CV,79.54,few clouds,14.8961,-24.4956,Hotel Xaguate
245,Nantucket,US,68.02,clear sky,41.2835,-70.0995,Jared Coffin House
246,Langsa,ID,74.8,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
247,Kulhudhuffushi,MV,81.79,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
249,Zabid,YE,88.92,overcast clouds,14.1951,43.3152,دار الضيافة
250,Jipijapa,EC,71.1,overcast clouds,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
252,Kinna,SE,55.44,clear sky,57.5073,12.6946,Hanatorps Camping
253,Barranquilla,CO,87.58,scattered clouds,10.9639,-74.7964,Hotel Don Jorge
254,Tocopilla,CL,67.06,broken clouds,-22.092,-70.1979,Hotel Galvarino
255,Saldanha,ZA,68.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
256,San Policarpo,PH,78.19,moderate rain,12.1791,125.5072,Agapita M. Nicart
257,Ferrol,ES,64.65,clear sky,43.4832,-8.2369,Parador de Ferrol
258,Lebu,CL,58.19,clear sky,-37.6167,-73.65,Hostal Las Lilas
259,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
260,Sindou,BF,78.1,light rain,10.6667,-5.1667,LERABA HOTEL
262,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
265,Brazzaville,CG,86.31,overcast clouds,-4.2658,15.2832,Hotel Muesse
266,Noumea,NC,75.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
267,Buala,SB,80.89,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
268,Timbiqui,CO,81.19,light rain,2.7717,-77.6654,hotel diana
269,Vao,NC,69.84,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
270,Pionerskiy,RU,55.24,light rain,54.9508,20.2275,Baltica Pension
272,Cidreira,BR,67.26,overcast clouds,-30.1811,-50.2056,Hotel Castelo
273,College Station,US,88.95,few clouds,30.628,-96.3344,Homewood Suites by Hilton College Station
275,Kharan,PK,77.97,clear sky,28.5833,65.4167,Dil Aram Bangla
278,Oxford,GB,55.56,clear sky,51.7522,-1.256,Malmaison Oxford
283,Bandarbeyla,SO,79.32,overcast clouds,9.4942,50.8122,JABIR HOTEL
284,Yarim,YE,61.79,broken clouds,14.298,44.3779,وليد المسوري ابو اسد
285,Mahon,ES,64.96,broken clouds,39.8885,4.2658,ARTIEM Capri
286,Dezful,IR,86.4,broken clouds,32.3811,48.4058,سالن پیرایش امید
287,Jining,CN,54.72,overcast clouds,35.405,116.5814,Yunhe Star Hotel
289,Los Llanos De Aridane,ES,69.55,volcanic ash,28.6585,-17.9182,Valle Aridane
291,Bosaso,SO,88.7,clear sky,11.2842,49.1816,Red Sea Hotel
292,Saint George,US,79.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
294,Laguna,US,79.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
295,Kumluca,TR,70.59,clear sky,36.3703,30.2869,TurkuazKöy
296,Caravelas,BR,77.47,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
298,Damghan,IR,61.34,broken clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
299,Cabra,ES,74.25,few clouds,37.4725,-4.4421,MS Fuente Las Piedras
300,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
301,Yining,CN,65.73,broken clouds,29.0361,114.5636,Xiushui Hotel
302,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
304,Coihaique,CL,56.01,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
305,Ruteng,ID,61.56,broken clouds,-8.6136,120.4721,Hotel FX 72
